Category,Subcategory,Location,Location.ID,Value,Units,Notes
Trip_rates,Pop,North East,1,2.63,per person,
Trip_rates,Pop,North West,2,2.72,per person,
Trip_rates,Pop,Yorkshire and The Humber,3,2.75,per person,
Trip_rates,Pop,East Midlands,4,2.83,per person,
Trip_rates,Pop,West Midlands,5,2.52,per person,
Trip_rates,Pop,East of England,6,2.69,per person,
Trip_rates,Pop,London,7,2.23,per person,
Trip_rates,Pop,South East,8,2.69,per person,
Trip_rates,Pop,South West,9,2.93,per person,
Trip_rates,Pop,England,10,2.71,per person,
Trip_rates,Jobs,North East,1,0.5,per person,
Trip_rates,Jobs,North West,2,0.58,per person,
Trip_rates,Jobs,Yorkshire and The Humber,3,0.51,per person,
Trip_rates,Jobs,East Midlands,4,0.55,per person,
Trip_rates,Jobs,West Midlands,5,0.5,per person,
Trip_rates,Jobs,East of England,6,0.56,per person,
Trip_rates,Jobs,London,7,0.64,per person,
Trip_rates,Jobs,South East,8,0.52,per person,
Trip_rates,Jobs,South West,9,0.57,per person,
Trip_rates,Jobs,England,10,0.55,per person,
Carbon_factor,Gasoline,England,10,0.25,KgCo2eq/Kwh,
Travel_distance,Work,North East,1,12.39,km,
Travel_distance,School,North East,1,4.34,km,
Travel_distance,Work,North West,2,13.03,km,
Travel_distance,School,North West,2,6.44,km,
Travel_distance,Work,Yorkshire and The Humber,3,13.35,km,
Travel_distance,School,Yorkshire and The Humber,3,4.34,km,
Travel_distance,Work,East Midlands,4,14.96,km,
Travel_distance,School,East Midlands,4,5.15,km,
Travel_distance,Work,West Midlands,5,13.68,km,
Travel_distance,School,West Midlands,5,4.18,km,
Travel_distance,Work,East of England,6,18.66,km,
Travel_distance,School,East of England,6,5.63,km,
Travel_distance,Work,London,7,12.71,km,
Travel_distance,School,London,7,4.67,km,
Travel_distance,Work,South East,8,17.86,km,
Travel_distance,School,South East,8,5.95,km,
Travel_distance,Work,South West,9,12.71,km,
Travel_distance,School,South West,9,5.79,km,
Travel_distance,Work,England,10,14.63,km,
Travel_distance,School,England,10,5.31,km,
Mode_split,Car,England,10,0.61,total,Total trips share
Mode_split,Bus,England,10,0.08,total,Sum of public transport 
Mode_split,Car,England,10,0.61,per person,"NTS 2017, trips per person "
Mode_split,Bus,England,10,0.08,per person,Sum of all trips of all PT modes
Mode_split,Vehicle,England,10,0.74,per person,Combination to account for all VKT
Mode_share,Car_Gasoline,England,10,95.6,%,
Mode_share,Car_Diesel,England,10,4.4,%,
Mode_share,Bus_Gasoline,England,10,0,%,
Mode_share,Bus_Diesel,England,10,100,%,
Mode_efficiency,Car_Gasoline,England,10,14.07,Km/l,
Mode_efficiency,Car_Diesel,England,10,17.5,Km/l,
Mode_efficiency,Bus_Gasoline,England,10,3,Km/l,
Mode_efficiency,Bus_Diesel,England,10,4.65,Km/l,
Density_weight,Gasoline,England,10,12.27,Kwh/Kg,
Density_volume,Gasoline,England,10,0.74,Kg/l,
Density_weight,Diesel,England,10,11.91,Kwh/Kg,
Density_volume,Diesel,England,10,0.84,Kg/l,
Carbon_factor,Diesel,England,10,0.27,KgCo2eq/Kwh,
Travel_distance,Average,England,10,10.84698,km,
Trip_split,Work,England,10,0.275,%,Sum of commuting and both business
Trip_split,School,England,10,0.316,%,Sum of school and shopping 
Scenarios,BHLS,England,10,3.5,%,
Scenarios,BRT,England,10,10,%,
Scenarios,Parking,England,10,5.5,%,
Scenarios,Density,England,10,4,%,
Mode_split,Car,England,10,0.61,per person,"NTS 2017, trips per person "
Mode_split,Bus,England,10,0.08,per person,Sum of all trips of all PT modes
Mode_split,Vehicle,England,10,0.74,per person,Combination to account for all VKT
Mode_split,Car,North East,1,0.621837506,per person,
Mode_split,Car,North West,2,0.64486505,per person,
Mode_split,Car,Yorkshire and The Humber,3,0.647844594,per person,
Mode_split,Car,East Midlands,4,0.666451557,per person,
Mode_split,Car,West Midlands,5,0.679446031,per person,
Mode_split,Car,East of England,6,0.659102474,per person,
Mode_split,Car,London,7,0.355683693,per person,
Mode_split,Car,South East,8,0.665469736,per person,
Mode_split,Car,South West,9,0.638086519,per person,
Mode_split,Bus,North East,1,0.090654414,per person,
Mode_split,Bus,North West,2,0.075258966,per person,
Mode_split,Bus,Yorkshire and The Humber,3,0.064549554,per person,
Mode_split,Bus,East Midlands,4,0.041546719,per person,
Mode_split,Bus,West Midlands,5,0.057179702,per person,
Mode_split,Bus,East of England,6,0.060381884,per person,
Mode_split,Bus,London,7,0.265803777,per person,
Mode_split,Bus,South East,8,0.058166015,per person,
Mode_split,Bus,South West,9,0.044459573,per person,
